City/Town,2014 Median Price,2013 Median Price,One-Year Price % Change,Five-Year Price % Change,Ten-Year Price % Change,2014 Days on Market,2014 Number of Sales
Lexington,950000.0,829500.0,14.5,51.4,45.0,65.0,419.0
Lincoln,1045000.0,1037500.0,0.7,26.7,12.4,99.0,67.0
Littleton,412500.0,395000.0,4.4,16.7,3.3,85.0,104.0
Lowell,227000.0,220000.0,3.2,16.4,-10.0,87.0,473.0
Lynn,240000.0,219861.0,9.2,22.4,-11.1,78.0,473.0
Lynnfield,525500.0,513750.0,2.3,6.2,5.7,88.0,141.0
Malden,325000.0,315000.0,3.2,24.0,-4.3,54.0,246.0
Manchester,750000.0,693500.0,8.1,25.1,28.4,154.0,65.0
Mansfield,370000.0,356145.0,3.9,7.2,-8.0,67.0,142.0
Marblehead,585600.0,526000.0,11.3,25.6,10.5,108.0,234.0
Marlborough,310000.0,292000.0,6.2,17.0,-7.7,98.0,257.0
Marshfield,362750.0,364000.0,-0.3,9.8,-9.3,110.0,286.0
Maynard,317000.0,318000.0,-0.3,13.2,-4.2,75.0,122.0
Medfield,568250.0,573500.0,-0.9,3.8,7.2,87.0,150.0
Medford,420000.0,395000.0,6.3,23.5,7.7,45.0,310.0
Medway,383750.0,370000.0,3.7,14.1,-5.5,73.0,142.0
Melrose,475500.0,430000.0,10.6,24.7,15.4,42.0,276.0
Merrimac,348950.0,279200.0,25.0,20.0,-17.4,118.0,60.0
Middleboro,272500.0,259900.0,4.8,6.9,-13.5,110.0,191.0
Middleton,635000.0,484900.0,31.0,31.4,30.6,112.0,73.0
Milford,274950.0,265000.0,3.8,5.8,-17.8,89.0,218.0
Millis,379900.0,343000.0,10.8,16.9,5.5,82.0,67.0
Milton,525000.0,492500.0,6.6,19.2,11.9,73.0,283.0
Nahant,450000.0,432500.0,4.0,13.6,-0.9,117.0,23.0
Natick,477000.0,439000.0,8.7,13.7,11.3,50.0,369.0
Needham,805000.0,749500.0,7.4,23.8,29.9,55.0,378.0
Newbury,427000.0,410000.0,4.1,13.9,-3.0,194.0,72.0
Newburyport,490000.0,497000.0,-1.4,22.5,11.7,83.0,198.0
Newton,941000.0,890000.0,5.7,32.5,32.9,52.0,634.0
Norfolk,440000.0,438750.0,0.3,3.5,-7.4,141.0,121.0
North Andover,480000.0,459500.0,4.5,16.2,-7.7,84.0,263.0
North Attleboro,316500.0,328750.0,-3.7,-1.6,-8.4,96.0,210.0
North Reading,456020.0,425000.0,7.3,24.1,6.1,65.0,173.0
Norton,275000.0,276500.0,-0.5,0.0,-19.1,88.0,147.0
Norwell,506750.0,573200.0,-11.6,-1.3,-9.5,122.0,142.0
Norwood,381250.0,360000.0,5.9,10.0,-1.0,63.0,220.0
