Town,pr2013,pr2012,pc1y,pr2008,pc5y,pr2003,pc10y,dm2013,dm2012,dc1y
Norwell,575000,488000,18,555000,4,496500,16,139,139,0
Norwood,360000,330000,9,356500,1,348000,3,62,88,30
Peabody,320000,300000,7,319000,0,331500,3,65,95,32
Pembroke,320000,290000,10,331000,3,320000,0,117,120,3
Plainville,350000,295900,18,352500,1,335000,4,80,94,15
Plymouth,285000,275000,4,297750,4,302000,6,139,158,12
Plympton,315000,320000,2,320000,2,353000,11,170,180,6
Quincy,346000,305000,13,330000,5,330000,5,64,103,38
Randolph,239950,215000,12,259050,7,285000,16,75,106,29
Raynham,270550,264000,2,289839,7,297500,9,111,119,7
Reading,459900,419950,10,402000,14,394400,17,54,73,26
Revere,255000,232000,10,242000,5,287500,11,76,94,19
Rockland,235000,237000,1,245000,4,277700,15,104,130,20
Rockport,440000,419000,5,460000,4,390000,13,116,146,21
Rowley,387900,390000,1,440000,12,434000,11,73,163,55
Salem,300000,249900,20,295000,2,309500,3,73,122,40
Salisbury,293000,255000,15,289950,1,280000,5,117,145,19
Saugus,295000,270000,9,300000,2,325000,9,78,98,20
Scituate,461000,410000,12,445000,4,465000,1,110,149,26
Sharon,469900,410000,15,358500,31,410000,15,76,112,32
Sherborn,740000,660000,12,710000,4,732250,1,139,240,42
Somerville,540000,448250,20,391000,38,372000,45,33,64,48
Southborough,500000,430000,16,520000,4,529000,5,110,126,13
Stoneham,400000,370000,8,385000,4,375000,7,53,86,38
Stoughton,293000,269900,9,288660,2,320000,8,73,94,22
Stow,436000,425000,3,463250,6,425000,3,95,160,41
Sudbury,675000,610500,11,600000,13,614650,10,100,140,29
Swampscott,425000,388000,10,415000,2,413750,3,99,151,34
Taunton,224950,215000,5,249500,10,260000,13,96,115,17
Tewksbury,317000,292500,8,319000,1,329900,4,73,113,35
Topsfield,477500,462000,3,479000,0,531500,10,110,154,29
Wakefield,406000,380168,7,378000,7,385000,5,51,83,39
Walpole,419000,366750,14,381800,10,376000,11,77,106,27
Waltham,424800,376500,13,393900,8,371000,15,49,93,47
Watertown,462000,422000,9,420000,10,422500,9,44,59,25
Wayland,597000,533000,12,505000,18,535000,12,78,139,44
Wellesley,1068750,897700,19,1010000,6,759750,41,81,118,31
Wenham,486500,544250,11,453500,7,582000,16,91,196,54
West Bridgewater,282000,235000,20,277550,2,296450,5,98,141,31
West Newbury,434000,412000,5,440000,1,540250,20,119,140,15
Westford,460000,433250,6,410000,12,420000,10,113,118,4
Weston,1231500,1250000,1,1360000,9,1073438,15,115,141,18
Westwood,610000,534250,14,505000,21,499950,22,67,125,46
Weymouth,290000,270050,7,295000,2,302400,4,70,110,36
Whitman,244472,226500,8,253925,4,275500,11,81,125,35
Wilmington,365000,341250,7,345000,6,354000,3,59,118,50
Winchester,825000,700000,18,722500,14,687000,20,59,98,40
Winthrop,325000,292000,11,330000,2,350000,7,100,94,6
Woburn,358000,320083,12,330000,8,341000,5,74,99,25
Wrentham,412500,322500,28,410000,1,369900,12,100,127,21
