City/Town,2021 Price,2020 Price,2019 Price,2Yr %Change ('19-'21),1Yr %Change ('20-'21),1Yr %Change ('19-'20)
Tyngsborough,550500,477500,417500,32,15,14
Wakefield,687500,625000,570000,21,10,10
Walpole,620000,570000,531717,17,9,7
Waltham,705000,670000,615000,15,5,9
Watertown,785000,717500,714950,10,9,0
Wayland,1000000,802000,750000,33,25,7
Wellesley,1655000,1610000,1450000,14,3,11
Wenham,865000,788750,690000,25,10,14
West Bridgewater,467500,415000,366750,27,13,13
West Newbury,825000,680000,617500,34,21,10
Westford,745000,662500,607005,23,12,9
Weston,2105000,1596000,1455000,45,32,10
Westwood,1049000,880000,768250,37,19,15
Weymouth,535000,462000,425000,26,16,9
Whitman,442500,401000,362000,22,10,11
Wilmington,626000,590000,550000,14,6,7
Winchester,1349500,1250750,1150000,17,8,9
Winthrop,665000,579000,502500,32,15,15
Woburn,630000,570000,530000,19,11,8
Wrentham,600000,587000,534913,12,2,10
